text,label
It is a very effective method and has made the subject very interesting and accessible to me. I need to work independently and at my own pace so this suited me perfectly,positive
"I think that the online courses are very interesting, but we are too isolated... plus the speed of explaining the applications is sometimes much too fast so we have no time at all to understand and therefore we completely drop out...",negative
the videos are very clear and well explained,positive
"This working method is very autonomous, this can be good for the courses because it is true that it is difficult to concentrate during a lecture with a large class like ours, this therefore allows you to do the course independently when you wish but it depends but concerning the exercise work, this method was not suitable for me because we were too independent and did not move at the pace, it was therefore sometimes difficult to understand the corrections because we were not everyone has the same question.. I prefer that we all move forward with the exercises together. Concerning the exercises on moodle, the correction was sometimes not very detailed so I did not do them.",negative
I regret that the training carried out at the exercise work level seen with the teacher as well as the exercises in the digital courses were not sufficient to successfully complete the partial that was offered to us...,negative
"Good, well explained videos",positive
no,neutral
"A method that requires a certain rigor and involvement which is quite tiring but you get used to it. The online lessons often exceeded 1:30 for me, especially when I did the moodle exercises.",neutral
/,neutral
🙏,neutral
The pace of the independent sessions was too strong at the end of the semester (last 2 chapters) considering the overall workload for all subjects (projects),neutral
.,neutral
This educational approach is very good and allows you to organize yourself as you wish. The exercise work not only allow you to be helped by someone with more skills but also to ask questions about the course to the teacher who is very available to all students.,positive
no,neutral
change the method,neutral
no,neutral
If you are motivated it works well,positive
Good but may lack rigor (not necessarily knowing exactly what to master),neutral
Nothing to report,neutral
Nothing to report,neutral
"The method is interesting, but I would have preferred that the first very theoretical lessons were carried out in lectures. I had a lot of trouble grasping the material at the start of the semester. Now things are a little better.",positive
"the videos go too fast, you don't even have time to understand a sentence, you move straight on to something else, so it's annoying.",negative
no,neutral
"No more exercise work, need to correct them in full",negative
no comment,neutral
Nothing special,neutral
.,neutral
Choosing this teaching method is a great idea for students who know how to work alone and regularly. The videos on moodle are very well explained and very clear.,positive
Good teaching method which is quite beneficial when followed. Allows you not to have too heavy a workload during revisions.,positive
No comments,neutral
no comment,neutral
no,neutral
/,neutral
"In terms of exercise work, I find it a shame that we spend most of the sessions ""just"" demonstrating formulas that have been explained and demonstrated in the online course. In addition, we have sometimes reworked exercises from the online course, but if you follow the online course, you have already done them so it is a waste of time. I would have liked to have more different dexo (on the same notions but with different statements and subtleties that change: sometimes found S, sometimes X, sometimes Q, sometimes V...). Workshop work is a good thing, but the problem is that there is often a gap in the groups because some people follow the course online and others rely on the exercise work to understand the course. For people taking the online course, the workshop work is sometimes more of a waste of time than work.",negative
Personal difficulty in understanding the exercises,negative
no,neutral
"I think it would be preferable to obtain more exercise work sessions (the administration which does not plan etc... I know that this is not your responsibility), a summary brief before the exercise seen in td in order to anchor the ideas, is it necessary to have a quiz 2 with a negative point? , The possibility of having a quiz1 in order to make the notes (or a project) more homogeneous, more interactions on the future of skills (I do not want to summarize my course with the word fermenter..) ie how to integrate them into different issues, THANK YOU FOR YOUR DEDICATION AND SEE YOU SOON IN MAJOR PROCESS",neutral
Nothing,neutral
no,neutral
.,neutral
"Can be a mix of the two (video and face-to-face courses), or bring more “review” sessions to have better monitoring/understanding of the course",neutral
/,neutral
"No particular comments, I greatly appreciated the format, which leaves the freedom to focus only on the blocking points. A pure pleasure of bioprocesses, a real discovery! Thank you Madam :D",positive
"It's a good approach overall, nothing to improve as far as I'm concerned",positive
I like this method,positive
very interesting course and the exercise work allow a concrete vision of the course,positive
It's cool maybe more exercise work type exam,positive
.,neutral
The entire course was relevant and the teaching was effective,positive
no remark,neutral
no,neutral
no,neutral
No comments,neutral
"Perhaps a little less autonomy in exercise work, a teacher's explanation is sometimes more relevant than that of a student",neutral
leave the workshops in exercise work but make a collective correction on the board,neutral
"I was a little disturbed by this learning system even if it is an interesting system. However, I think that there is a lack of ""summary sessions"" of each course, like a lectures but which covers the important elements and/or questions answered regularly, not at the end of the semester (a bit like the review session in the form of mental map but at the end of each chapter). In addition, I think that the quiz could be on paper, this could allow you to have a few points ahead before the final (from my experience: I understood better and managed to do the demonstrations/calculations of the quiz than the final but I didn't get the average and I think that doing it on paper would have allowed me to get the average).",negative
.,neutral
no comment,neutral
no,neutral
Nothing to report,neutral
no comment,neutral
More adapted to each person's pace even if the numerous interruptions for correction and constant communication with classmates do not promote concentration and productivity,negative
No other comments,neutral
This method depends on too many parameters to work in the long term.,negative
no,neutral
Make a correction of the tds with the students instead of doing the “workshop” method,negative
no comment,neutral
no,neutral
👌👌,positive
"no, nothing",neutral
Thank you ma'am,neutral
no,neutral
"Nothing to say, very educational",positive
J'ai beaucoup apprécié le cours et comment il a été présenté,positive
Thank you ma'am because your course was really interesting and captivating,positive
The explanations were very clear thank you,positive
No comments.,neutral
no conment,neutral
I think it would be good to further develop the chapter on water treatment to allow GPI2D students to have some knowledge of it.,positive
I have nothing to say about the course and the teaching method is really perfect!!!,positive
"I really appreciated this teaching method, it allowed me to assimilate the course well and it made the exercise work session interactive and more enriching.",positive
No comments.,neutral
no comments,neutral
no comments,neutral
"I appreciated the working method, however I would have liked to have perhaps had a dedicated moment before starting the exercise work to ask questions about the course or receive a summary of the essential points of the course in order to better approach the exercise work.",positive
.,neutral
Well organized course thank you,positive
Nothing,neutral
We would like the course videos to take place more slowly,negative
It would be more interesting to make the exercise work session more interactive in the sense that the teacher explains the tutorial and we correct it with an additional effort from the students to interact and not let the session pass in a monotonous way. Sometimes while working on my notebook I lose track because I didn't concentrate on the explanation given by the teacher,negative
no,neutral
"Good working method, developing autonomy and adapted to the different paces of students",positive
Beautiful pedagogy,positive
I think it's a good method,positive
no,neutral
We must give priority to lectures,neutral
No comments,neutral
This is a good methodology,positive
No comments,neutral
The teacher has a good command of her subject and this facilitates the teaching method.,positive
no,neutral
Thanks for the course ^^,positive
I find this method to be very organized and not too busy. It gives you time to assimilate the course.,positive
Nothing to report,neutral
Alright,neutral
No comments,neutral
no comment,neutral
no comment,neutral
no comment,neutral
The course is clear. The tutorials are in accordance with the course and prepare us well for the exams (with the annals).,positive
"Dynamic and motivated teacher who clearly links what we need to know and the application of his course in daily life. - Differentiate between what is important to know, what will be useful for other courses and what is more cultural",positive
"This course is very interesting, gives us fundamental bases for the future",positive
The course is very well structured,positive
no comment,neutral
lots of discussion and interactivity in this course,positive
"Very structured course, well done",positive
It is a course that lays a good foundation for future years. Examples are cited with molecules/components which makes the course more concrete.,positive
"Interesting subject and the courses are very complete, well structured.",positive
The topics in this course are interesting. The teacher is clear in these explanations and introduces examples allowing us to connect our newly acquired knowledge and phenomena in our everyday life.,positive
no comment,neutral
Good organization,positive
no comment,neutral
The practical exercises are really useful and allow us to implement and understand the course well.,positive
no comment,neutral
knows her subject very well and manages to explain it well.,positive
"Course which provides more than just knowledge, it provides a little general culture and understanding of certain phenomena of everyday life",positive
It provides the basics.,neutral
no comment,neutral
"Interesting course, allows you to deepen basic knowledge",positive
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
Very interesting course due to the fact that it directly involves the student. Very lively course.,positive
"Interesting course, which addresses more or less distant themes",positive
no comment,neutral
the diversity of the courses (with 3 different teachers).,positive
no comment,neutral
Personal enrichment,positive
class is very interactive. His course is particularly interesting because we study elements of everyday life and current events.,positive
"Varied course, which allows us to see a whole range of things with different teachers, particularly: very clear and very rigorous course.",positive
an interesting subject,positive
no comment,neutral
no comment,neutral
interesting course which gives us a basis for our future work,positive
Quite interactive and very concrete,positive
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
"allows you to understand how the environment works, very enriching",positive
no comment,neutral
no comment,neutral
no comment,neutral
"Very lively, good involvement of those in charge of exercise work, lectures and practical work",positive
no comment,neutral
no comment,neutral
The teacher's repeated explanations so that we are clearly understood (even if it may seem daunting),neutral
no comment,neutral
no comment,neutral
no comment,neutral
This course is well constructed and made fascinating by the teacher.,positive
Teacher/student interactivity The very interesting course,positive
no comment,neutral
no comment,neutral
"Clarity of the course, in agreement with the exercises work and practical works",positive
no comment,neutral
precise and interesting course good tutorials which complement the course well the two teachers complement each other with different but similar explanations (keep this system),positive
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
This course is well constructed and made fascinating by the teacher.,positive
no comment,neutral
"Good interactivity, teacher who explains well",positive
no comment,neutral
no comment,neutral
does not work with slides he reads which is more interesting for us because he interacts much more with us as a result.,positive
Availability of the teacher to answer questions,positive
no comment,neutral
lively and interactive course good explanations both in practical and lecture hall,positive
"the teacher is very interesting, the explanations are clear.",positive
Novelty,positive
no comment,neutral
really takes the time to explain each point of his course to us and to answer our questions,positive
no comment,neutral
the teacher is very passionate about what he does and transmits his knowledge very well,positive
no comment,neutral
no comment,neutral
The teacher takes the time to explain well and answer all questions,positive
no comment,neutral
no comment,neutral
no comment,neutral
The teacher takes the time to explain well and answer all questions,positive
the clarity of the explanations and the time spent on each point so that everyone can understand.,positive
The course gave us a foundation in biology and allowed us to project ourselves as a future engineer in the bio-industry (thanks to the practical work in particular.,positive
"This course really gives us the basics of biology, which will help us in our future life as an engineer.",positive
no comment,neutral
This is a very good quality course. Knows how to bring biology to life thanks to the clarity of his explanations. It's great.,positive
no comment,neutral
no comment,neutral
no comment,neutral
A passionate teacher-researcher who transmits concepts with clarity,positive
no comment,neutral
no comment,neutral
no comment,neutral
"Currently doing an internship in a research laboratory, I can say that everything I was able to learn during this semester was very useful in understanding the manipulations carried out and the mechanisms involved. Most of the practical work was a more.",positive
"Lots of interactivity in class and in exercise work, very enriching TP Clear explanations in class,  exercise work and practical work",positive
Availability and explanations given by the teaching team (courses / exercise work / practical work),positive
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
Application exercises.,positive
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
Link with other subjects The numerous application exercises,positive
no comment,neutral
no comment,neutral
very interesting project,positive
no comment,neutral
good supports,positive
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
the teacher invests a lot in the course and provides exercises at the end of the chapters which allow you to better understand the course,positive
no comment,neutral
The projects allowed us to tackle very interesting subjects and taught us how to manage group work.,positive
"interactivity of the teacher, availability to answer students' questions, desire to arouse interest among students by carrying out the project. assessment adapted to courses",positive
good initiative interesting project,positive
no comment,neutral
no comment,neutral
"The project was really very interesting to carry out, supervised us well and was always there to answer our questions.",positive
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
The projects allowed us to tackle very interesting subjects and taught us how to manage group work.,positive
no comment,neutral
Teacher-student interaction.,positive
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
This course allows you to understand the techniques frequently used in the industrial environment. It shows us the practical aspect of the many theories and formulas that we have been able to learn in general or physical chemistry for example.,positive
Personal and work enrichment Very interesting project,positive
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
Clear explanations,positive
no comment,neutral
no comment,neutral
organization and clarity of the course,positive
no comment,neutral
a very good course a very good teacher,positive
no comment,neutral
no comment,neutral
no comment,neutral
"very good organization, it is easy to navigate, clear and precise explanations (supervision of reactions and assessments)",positive
no comment,neutral
Very dense but interesting courses. The teacher is very involved and the work required is quite substantial.,positive
no comment,neutral
no comment,neutral
no comment,neutral
very structured and organized course demanding assessment but adapted to the course taught,positive
structured and calm course in lecture hall listening to students to answer questions,positive
no comment,neutral
"Clear explanations, the tutorials prepare us well for the exams. The practicals are interesting and the teachers who supervise us are there to guide us if necessary, but above all they help us to understand the meaning of each action so that we carry out each practical by knowing why and not by simply following a protocol.",positive
no comment,neutral
The material is certainly very difficult but the course is very organized and the explanations quite clear.,positive
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
Organization and rigor,positive
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
Very well organized and clear course. Good synchronization between lessons and tutorials.,positive
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
Makes us exercise!,neutral
no comment,neutral
Good overall!,positive
no comment,neutral
"Dubble Dutch: uncommon sport, friendly and open teacher, patient, good explanations, rapid progress and therefore increased interest in the subject (no discouragement because progress is immediately visible)",positive
A course very different from the others which allows you to let off steam. Very pleasant after many hours sitting in a lecture hall.,positive
"progressive physical training, availability of the teacher",positive
"Funny, playful allows you to let off steam, perfect! No stress",positive
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
Allows you to relax a little.,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
Lots of oral and listening work.,neutral
This allows us to strengthen our English and improve it,positive
interactivity,neutral
Good interactivity (better than in the 1st semester),positive
working in small groups is very appreciated,positive
no comment,neutral
The dialogue between teacher and student,neutral
no comment,neutral
lively course with lots of discussion,positive
"English lessons, large, small number. Using different course materials is a good thing.",positive
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
no comment,neutral
